"ll_gissqft","ll_gisacre","landval","parval","usedesc","city"
6752,0.15501,38000,187280,"Residential","Dallas"
5506,0.1264,38000,189690,"Residential","Dallas"
15035,0.34516,75150,228130,"Commercial","Dallas"
5046,0.11584,40000,253780,"Residential","Dallas"
7315,0.16792,25000,101420,"Residential","Dallas"
11704,0.26868,39000,139460,"Residential","Dallas"
3015,0.06921,50000,327900,"Residential","Dallas"
8085,0.18559,35000,208610,"Residential","Dallas"
12554,0.2882,62730,324000,"Residential","Dallas"
2765,0.06347,50000,331000,"Residential","Dallas"
6161,0.14144,25000,152620,"Residential","Dallas"
3339,0.07665,50000,350780,"Residential","Dallas"
3664,0.08412,30000,146000,"Residential","Dallas"
12503,0.28702,40000,158960,"Residential","Dallas"
10008,0.22975,40000,142890,"Residential","Dallas"
2421,0.05558,15000,30580,"Residential","Dallas"
8930,0.205,25000,149450,"Residential","Dallas"
10087,0.23157,39000,180900,"Residential","Dallas"
10504,0.24113,30000,86770,"Residential","Dallas"
8414,0.19315,40000,145220,"Residential","Dallas"
11172,0.25647,67010,285000,"Residential","Dallas"
11429,0.26236,40000,193590,"Residential","Dallas"
6555,0.15048,39320,108940,"Residential","Dallas"
7201,0.1653,28000,126940,"Residential","Dallas"
121840,2.79699,60570,60570,"Residential","Dallas"
6752,0.15501,38000,169640,"Residential","Dallas"
10979,0.25204,40000,193260,"Residential","Dallas"
6752,0.15501,38000,104880,"Residential","Dallas"
10848,0.24904,38000,211770,"Residential","Dallas"
9942,0.22822,40000,155090,"Residential","Dallas"
11549,0.26511,40000,133250,"Residential","Dallas"
10121,0.23233,25290,74570,"Residential","Dallas"
10247,0.23524,25200,44950,"Residential","Dallas"
9429,0.21645,40000,335530,"Residential","Dallas"
14690,0.33723,73430,137750,"Residential","Dallas"
6752,0.15501,38000,159530,"Residential","Dallas"
7328,0.16823,40000,179430,"Residential","Dallas"
19984,0.45875,40000,187370,"Residential","Dallas"
6243,0.14331,100,100,"Residential","Dallas"
5662,0.12999,40000,236940,"Residential","Dallas"
8933,0.20507,15000,154000,"Residential","Dallas"
7683,0.17636,38000,200530,"Residential","Dallas"
13949,0.32022,20000,180480,"Residential","Dallas"
13275,0.30475,40000,184030,"Residential","Dallas"
9291,0.21329,18000,59600,"Residential","Dallas"
12341,0.28331,40000,175690,"Residential","Dallas"
8667,0.19897,52870,103710,"Commercial","Dallas"
13305,0.30542,38000,172240,"Residential","Dallas"
10008,0.22975,40000,184860,"Residential","Dallas"
7202,0.16534,40000,145820,"Residential","Dallas"
7799,0.17903,30000,195470,"Residential","Dallas"
20555,0.47186,15000,195000,"Residential","Dallas"
13270,0.30462,79570,114540,"Residential","Dallas"
22022,0.50555,44160,189620,"Residential","Dallas"
5799,0.13312,40000,198010,"Residential","Dallas"
10322,0.23695,61910,205610,"Residential","Dallas"
11704,0.26868,39000,149530,"Residential","Dallas"
10092,0.23167,45000,291080,"Residential","Dallas"
12145,0.27881,60770,188250,"Residential","Dallas"
15246,0.34998,40000,238130,"Residential","Dallas"
2928,0.06721,50000,283520,"Residential","Dallas"
7593,0.1743,22500,105580,"Residential","Dallas"
11508,0.26419,40000,197450,"Residential","Dallas"
2421,0.05558,50000,355900,"Residential","Dallas"
12666,0.29076,40000,218460,"Residential","Dallas"
11379,0.26122,40000,186820,"Residential","Dallas"
7518,0.17257,10000,137620,"Residential","Dallas"
6752,0.15501,38000,232090,"Residential","Dallas"
11479,0.26352,57380,142670,"Residential","Dallas"
12232,0.28081,18000,221810,"Residential","Dallas"
7315,0.16793,25000,108450,"Residential","Dallas"
7256,0.16657,24000,117130,"Residential","Dallas"
7724,0.17733,25000,128370,"Residential","Dallas"
6135,0.14083,40000,201900,"Residential","Dallas"
9423,0.21632,47100,193420,"Residential","Dallas"
7563,0.17361,38000,132050,"Residential","Dallas"
10875,0.24965,54360,80600,"Residential","Dallas"
20023,0.45965,42530,104600,"Residential","Dallas"
8257,0.18956,35000,170550,"Residential","Dallas"
3991,0.09161,40000,115170,"Residential","Dallas"
8440,0.19376,35000,177760,"Residential","Dallas"
33414,0.76708,32000,315280,"Residential","Dallas"
7724,0.17733,25000,93000,"Residential","Dallas"
6601,0.15153,38000,247040,"Residential","Dallas"
6378,0.1464,38000,249230,"Residential","Dallas"
2333,0.05355,50000,315900,"Residential","Dallas"
13336,0.30614,26660,26660,"Commercial","Dallas"
9354,0.21474,40000,139770,"Residential","Dallas"
7984,0.18328,38000,175690,"Residential","Dallas"
